Date,Price,Open,High,Low,Vol.,Change %
2009-03-01,3647.02,"3,597.56","3,648.15","3,588.01",43.85M,1.37%
2009-03-02,3584.86,"3,640.55","3,641.19","3,584.86",46.91M,-1.70%
2009-03-03,3517.33,"3,524.81","3,533.41","3,494.95",57.01M,-1.88%
2009-03-04,3559.09,"3,524.63","3,562.48","3,524.63",68.90M,1.19%
2009-03-05,3575.93,"3,566.55","3,605.23","3,565.60",54.81M,0.47%
2009-03-08,3587.46,"3,576.95","3,598.63","3,576.81",38.00M,0.32%
2009-03-10,3627.77,"3,592.62","3,629.08","3,589.62",65.66M,1.12%
2009-03-11,3712.82,"3,747.98","3,760.05","3,712.79",55.98M,2.34%
2009-03-12,3700.76,"3,697.08","3,702.72","3,674.39",43.77M,-0.32%
2009-03-15,3819.56,"3,847.33","3,860.67","3,818.86",53.94M,3.21%
2009-03-16,3780.84,"3,846.14","3,853.06","3,776.46",60.05M,-1.01%
2009-03-17,3814.93,"3,783.60","3,822.86","3,782.44",75.20M,0.90%
2009-03-18,3914.65,"3,876.34","3,920.19","3,876.34",80.81M,2.61%
2009-03-19,3965.8,"3,941.76","3,988.21","3,937.12",82.06M,1.31%
2009-03-22,3982.28,"3,968.32","3,982.65","3,965.55",75.19M,0.42%
2009-03-23,4086.18,"4,017.55","4,086.18","4,017.55",83.85M,2.61%
2009-03-24,4214.64,"4,253.34","4,301.50","4,214.64",95.13M,3.14%
2009-03-25,4167.24,"4,158.97","4,167.24","4,105.04",93.73M,-1.12%
2009-03-26,4245.74,"4,242.65","4,264.29","4,242.46",95.45M,1.88%
2009-03-29,4332.56,"4,267.66","4,332.56","4,217.67",107.45M,2.04%
2009-03-30,4247.48,"4,350.02","4,350.02","4,247.48",120.80M,-1.96%
2009-03-31,4193.94,"4,211.44","4,211.44","4,161.75",79.19M,-1.26%
2009-04-01,4212.27,"4,236.97","4,278.96","4,212.14",92.04M,0.44%
2009-04-02,4363.69,"4,317.67","4,368.72","4,317.67",110.00M,3.59%
2009-04-05,4625.81,"4,497.60","4,625.89","4,497.60",145.14M,6.01%
2009-04-06,4816.65,"4,890.86","4,914.90","4,816.65",134.99M,4.13%
2009-04-07,4797.95,"4,695.41","4,943.39","4,659.68",131.90M,-0.39%
2009-04-08,4755.83,"4,731.49","4,762.24","4,686.21",83.30M,-0.88%
2009-04-09,4785.29,"4,787.45","4,851.63","4,785.29",92.67M,0.62%
2009-04-12,4959.57,"4,893.47","4,971.01","4,888.79",110.53M,3.64%
2009-04-13,4917.83,"4,974.34","4,980.85","4,917.83",95.43M,-0.84%
2009-04-14,4850.62,"4,913.45","4,913.45","4,850.36",57.22M,-1.37%
2009-04-15,4801.88,"4,834.19","4,895.16","4,801.88",75.15M,-1.00%
2009-04-16,4968.62,"4,806.97","4,968.62","4,806.87",97.77M,3.47%
2009-04-21,4926.84,"4,929.26","4,952.40","4,905.69",103.72M,-0.84%
2009-04-22,4980.42,"4,936.17","4,981.15","4,936.17",134.13M,1.09%
2009-04-23,4987.3,"5,013.88","5,049.61","4,987.30",123.89M,0.14%
2009-04-26,5075.19,"5,031.82","5,075.19","5,031.82",114.32M,1.76%
2009-04-27,5032.38,"5,102.02","5,104.21","5,032.38",113.81M,-0.84%
2009-04-28,4953.53,"5,003.61","5,003.61","4,937.34",100.57M,-1.57%
2009-04-29,5086.84,"4,977.70","5,087.96","4,977.70",110.83M,2.69%
2009-04-30,5191.34,"5,164.83","5,194.58","5,164.83",111.63M,2.05%
2009-05-03,5166.83,"5,185.35","5,243.39","5,166.83",75.82M,-0.47%
2009-05-04,5157.97,"5,145.29","5,174.01","5,125.84",66.80M,-0.17%
