Date,Price,Open,High,Low,Vol.,Change %
2023-06-06,17491.18,"17,345.90","17,637.95","17,345.90",352.84M,0.84%
2023-06-07,17347.57,"17,491.18","17,602.02","17,315.75",331.49M,-0.82%
2023-06-08,17521.36,"17,347.57","17,521.36","17,304.72",180.68M,1.00%
2023-06-11,17739.63,"17,521.36","17,825.96","17,521.36",398.42M,1.25%
2023-06-12,17704.58,"17,739.63","17,856.21","17,655.28",107.10M,-0.20%
2023-06-13,17866.81,"17,704.58","17,949.17","17,704.58",294.67M,0.92%
2023-06-14,17873.28,"17,866.81","18,056.54","17,848.62",245.98M,0.04%
2023-06-15,17881.52,"17,873.28","17,892.29","17,739.67",183.66M,0.05%
2023-06-18,18026.17,"17,881.52","18,096.20","17,881.52",134.60M,0.81%
2023-06-19,17988.95,"18,026.17","18,217.67","17,872.61",201.13M,-0.21%
2023-06-20,17921.92,"17,988.95","18,071.47","17,860.93",138.64M,-0.37%
2023-06-21,17706.08,"17,921.92","17,933.51","17,685.24",124.58M,-1.20%
2023-06-22,17712.93,"17,706.08","17,720.40","17,579.97",151.62M,0.04%
2023-06-25,17287.64,"17,712.93","17,743.13","17,287.64",153.03M,-2.40%
2023-06-26,17665.29,"17,287.64","17,665.29","17,287.64",118.38M,2.18%
2023-07-04,17466.18,"17,665.29","17,729.98","17,376.50",93.58M,-1.13%
2023-07-05,17380.33,"17,466.18","17,564.24","17,380.33",104.72M,-0.49%
2023-07-06,17102.3,"17,380.33","17,430.07","17,078.65",116.18M,-1.60%
2023-07-09,16555.12,"17,102.30","17,104.24","16,555.12",170.77M,-3.20%
2023-07-10,16963.13,"16,555.12","16,970.35","16,555.12",135.18M,2.46%
2023-07-11,17155.23,"16,963.13","17,223.84","16,903.96",140.62M,1.13%
2023-07-12,17144.22,"17,155.23","17,205.71","17,063.10",134.50M,-0.06%
2023-07-13,17342.29,"17,144.22","17,448.94","17,144.22",137.22M,1.16%
2023-07-16,17343.13,"17,342.29","17,437.24","17,342.29",100.26M,0.00%
2023-07-17,17512.01,"17,343.13","17,667.81","17,324.44",123.57M,0.97%
2023-07-18,17608.32,"17,512.01","17,671.13","17,512.01",139.85M,0.55%
2023-07-19,17578.67,"17,608.32","17,624.23","17,530.52",97.97M,-0.17%
2023-07-24,17550.23,"17,578.67","17,725.14","17,528.75",71.91M,-0.16%
2023-07-25,17479.94,"17,550.23","17,761.43","17,441.68",108.10M,-0.40%
2023-07-26,17396.24,"17,479.94","17,549.11","17,396.24",69.04M,-0.48%
